Offense,Defense,SuccessRate,AvgGain,AvgDistance,StdDistance,AvgCoverage
Pass rapide (slant),Cover 2,0.634,2.6928837835928823,7.02767924290241,0.2722366313959618,0.6413696526731306
Pass rapide (slant),Cover 3,0.5185,2.179339262430506,4.969755442710256,0.9290352034341544,0.7272638609927494
Pass rapide (slant),Man-to-Man,0.6965,3.1134762966863723,7.509140236332758,0.622415403108239,0.4346749150387703
Pass rapide (slant),Blitz 1,0.687,2.9355630402681143,7.645926021899618,0.6610984284425506,0.5625600170122784
Pass rapide (slant),Blitz 2,0.673,2.9080297718964925,7.443988643655499,0.5702165639340614,0.545113655117606
Pass rapide (slant),Blitz 3,0.687,3.305343255365275,7.221512409004692,1.12428797695296,0.22624550141996838
Pass rapide (slant),4-3 Front,0.661,2.7596286221863005,7.312273553877307,0.39524311440641025,0.6403636332807029
Pass rapide (slant),3-4 Front,0.5405,1.90522598452795,5.496729589179576,0.6687564083028694,1.062879781404712
Passe longue (go route),Cover 2,0.8335,15.613260243080662,10.330424455902975,0.6542629342926028,0.3304803833092423
Passe longue (go route),Cover 3,0.748,13.694402837249408,8.875440587893511,1.6997630198127984,0.4611701014188002
Passe longue (go route),Man-to-Man,0.904,18.015836856631182,12.953086329000067,1.5775837535075203,0.03989322684780208
Passe longue (go route),Blitz 1,0.8595,16.4826984417194,11.412879817405926,1.0912313909972615,0.2168369429666296
Passe longue (go route),Blitz 2,0.9045,17.952563802865388,13.958081260395218,2.2681507812989716,0.06858231611791181
Passe longue (go route),Blitz 3,0.879,17.863808747554767,14.167143232386303,2.803506263445707,0.02965496853467602
Passe longue (go route),4-3 Front,0.7855,14.476852000896836,9.419489953328256,1.02867698189778,0.36465036949003193
Passe longue (go route),3-4 Front,0.7715,14.121335963350043,9.482777755131979,1.1105571289077203,0.43461639152737236
Course intérieure,Cover 2,0.8935,3.4541440802753676,12.380203054796723,0.507579716562983,0.1026719192215922
Course intérieure,Cover 3,0.683,2.2069549445420766,7.581072340301075,0.4610768405772787,0.5265287421641986
Course intérieure,Man-to-Man,0.6985,2.365355345003239,7.546349588290668,0.4723419286901795,0.4579281132221982
Course intérieure,Blitz 1,0.854,3.1439327324846205,10.529068148634119,0.25254817973030136,0.2357658996385876
Course intérieure,Blitz 2,0.802,2.8536018522882225,10.004075396135072,0.25103901015476127,0.3229863302441272
Course intérieure,Blitz 3,0.3825,0.7444560840412452,3.0761182866006465,0.5163625595215912,1.2003526992055222
Course intérieure,4-3 Front,0.553,1.2071680105954987,6.451691013188908,0.295131754762911,1.1299429398609924
Course intérieure,3-4 Front,0.406,0.5579966968084169,4.287331270114544,0.3919087205683282,1.478374047825005
Course extérieure,Cover 2,0.902,4.412684517740329,12.7352346647983,0.4429630754680731,0.08744599191367511
Course extérieure,Cover 3,0.734,3.093783072397804,8.33231452372705,0.3001281379374181,0.450865813386651
Course extérieure,Man-to-Man,0.714,3.0881344895122047,8.112381688020186,0.3527122249592144,0.41296247994317514
Course extérieure,Blitz 1,0.8445,3.8778723070887846,10.178418468950277,0.5312444214027566,0.24252832475452893
Course extérieure,Blitz 2,0.814,3.734061286379641,10.200482420752358,0.4814924909482931,0.26469637382266753
Course extérieure,Blitz 3,0.446,1.2271739855543575,4.012471805925244,0.1867765549858026,1.145974391689294
Course extérieure,4-3 Front,0.5105,1.2958611547451604,5.468543279055046,0.5609193117194179,1.2387557303081134
Course extérieure,3-4 Front,0.5115,1.310615646617661,5.633577602326068,0.1886594445411992,1.2139437451635187
Play Action,Cover 2,0.71,7.6980674932407664,8.19574498888216,0.5760295891524156,0.5544161290095555
Play Action,Cover 3,0.787,8.623177936310002,9.559957003569533,1.1727875695384258,0.4364700144663013
Play Action,Man-to-Man,0.8205,9.593073630585824,9.759606207449162,0.7592847634377359,0.17939044281869984
Play Action,Blitz 1,0.8455,9.389638660205764,10.829622034049487,0.9004353595643806,0.2961297023385859
Play Action,Blitz 2,0.853,10.020108098147837,11.108449503081985,1.5928532104084074,0.1884483101993704
Play Action,Blitz 3,0.878,10.706532044035676,12.738545143277847,2.6108482881177117,0.04858378233185405
Play Action,4-3 Front,0.784,8.565445300058839,9.543059656072414,1.070308138052188,0.4144213287124207
Play Action,3-4 Front,0.7345,7.825888493503547,9.08833183813786,1.2864153360838098,0.56187589518358
Read Option,Cover 2,0.9,5.163539195055331,11.768706698172283,0.5669056197026396,0.13876142340195985
Read Option,Cover 3,0.6385,3.013338777429273,7.077705983079975,0.42237449238088604,0.6317784208732783
Read Option,Man-to-Man,0.658,3.2295591036377895,7.044073424745049,0.45138518891986457,0.5664634932687738
Read Option,Blitz 1,0.8225,4.472035871161318,10.105525064974543,0.44196976048012376,0.2906845523714547
Read Option,Blitz 2,0.8025,4.242277496346052,9.731188328160133,0.27434002422945564,0.36350451505117143
Read Option,Blitz 3,0.381,1.1854133969558467,3.041163374760551,0.6292458125927815,1.268771865708035
Read Option,4-3 Front,0.513,1.4945502369277865,5.863084612814022,0.48837861951243483,1.3375367682915618
Read Option,3-4 Front,0.413,0.8367719932222522,4.209672176500335,0.23742732691708648,1.6188012733921047
RPO,Cover 2,0.617,3.4162148467977493,6.8506737368407515,0.33514309740397513,0.6480660066342984
RPO,Cover 3,0.4945,2.6627759763083376,4.433367451775693,0.6539774027078137,0.7456529070301542
RPO,Man-to-Man,0.6435,3.8837151246766854,6.966790550702742,0.9243824084867075,0.471692476586045
RPO,Blitz 1,0.623,3.419406447888255,6.926577465199334,0.5719579644910653,0.6491357731883388
RPO,Blitz 2,0.6435,3.523758300395321,6.7993769527524055,0.4913316701812381,0.6426759499542468
RPO,Blitz 3,0.6135,3.9454566805190106,5.910227269470888,0.6366897786202355,0.3601389046338436
RPO,4-3 Front,0.6555,3.534240284657016,6.999933416485696,0.19479565219091374,0.6697179861853162
RPO,3-4 Front,0.508,2.0950624888531824,5.050690945841989,0.34672654220819765,1.12497970202227
Draw,Cover 2,0.893,5.203278669357009,12.880199312321047,1.0095376078182372,0.08689272671245646
Draw,Cover 3,0.717,3.6794263531131213,8.023486895698916,0.9629589519742614,0.46624570671838805
Draw,Man-to-Man,0.716,3.7759603019816788,7.995522947791352,0.9688748229643321,0.4003379022809235
Draw,Blitz 1,0.841,4.682068817666327,10.591318641077146,0.2636140337546001,0.21445991327349162
Draw,Blitz 2,0.781,4.131340692647334,9.30069936748905,0.22266519923660122,0.34097840531890405
Draw,Blitz 3,0.3935,1.2137567805196798,3.3632797470166977,0.9023717256390483,1.2757436217746083
Draw,4-3 Front,0.578,2.2135289976378383,6.798544195860821,0.6776999099103929,1.001063936244049
Draw,3-4 Front,0.477,1.4306877997880747,4.746875148645604,0.8152862353471759,1.3133869346314158
Screen Pass,Cover 2,0.905,4.487164361148526,14.756525213367295,0.33506953271408313,0.027150919738122937
Screen Pass,Cover 3,0.885,4.202628310839134,11.070228931820253,0.2293226523673522,0.18378456229471316
Screen Pass,Man-to-Man,0.84,4.0817297961957895,10.093782009606677,0.3346435377755787,0.16831179738041568
Screen Pass,Blitz 1,0.848,4.094987236513081,10.313702937365116,0.7263714461225828,0.16082047698137858
Screen Pass,Blitz 2,0.835,4.051842922304368,10.31554074795843,0.6681570568135111,0.1729791180702839
Screen Pass,Blitz 3,0.4035,1.2830758776621776,3.1205037606020025,0.595561272729518,1.309946535415131
Screen Pass,4-3 Front,0.5925,2.4936466167133045,6.662558526990693,0.3334912059766243,0.6708315023222358
Screen Pass,3-4 Front,0.684,2.922598536613421,7.792270731414625,0.5162992591976387,0.5737478549526629
